epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
89,533.295,1.28862,1.83134,1.05106,0.52634,0.34872,0.36535,0.2503,1.26614,2.10016,1.10143,1.58032e-05,1.58032e-05,1.58032e-05
90,538.485,1.26657,1.83293,1.04909,0.52779,0.35031,0.36758,0.25167,1.26678,2.09227,1.10127,1.56646e-05,1.56646e-05,1.56646e-05
91,544.883,1.26136,1.78649,1.04764,0.53308,0.35573,0.37353,0.25724,1.2672,2.08158,1.10086,1.5526e-05,1.5526e-05,1.5526e-05
92,550.097,1.23435,1.76437,1.03512,0.54721,0.36006,0.37552,0.25872,1.26233,2.05377,1.09911,1.53874e-05,1.53874e-05,1.53874e-05
93,556.617,1.27263,1.79928,1.03948,0.55721,0.35497,0.37705,0.26015,1.25674,2.06275,1.09703,1.52488e-05,1.52488e-05,1.52488e-05
94,561.987,1.26297,1.80656,1.0382,0.55659,0.35062,0.37965,0.26168,1.25378,2.06498,1.09567,1.51102e-05,1.51102e-05,1.51102e-05
95,567.678,1.23518,1.6999,1.02783,0.56256,0.35218,0.38674,0.2681,1.25491,2.05427,1.09636,1.49716e-05,1.49716e-05,1.49716e-05
96,572.932,1.25204,1.71188,1.04421,0.55687,0.35664,0.39246,0.27191,1.25663,2.02945,1.09786,1.4833e-05,1.4833e-05,1.4833e-05
97,578.304,1.27283,1.72025,1.03146,0.55768,0.36633,0.39756,0.27456,1.25462,2.01627,1.09693,1.46944e-05,1.46944e-05,1.46944e-05
98,584.398,1.2714,1.69088,1.02921,0.55842,0.37206,0.40017,0.27565,1.25388,2.00938,1.09661,1.45558e-05,1.45558e-05,1.45558e-05
99,589.648,1.28612,1.80553,1.04416,0.54431,0.37786,0.4018,0.27721,1.25631,1.99754,1.09838,1.44172e-05,1.44172e-05,1.44172e-05
100,595.569,1.24569,1.72421,1.03451,0.52016,0.38526,0.40526,0.27909,1.25936,1.97567,1.10003,1.42786e-05,1.42786e-05,1.42786e-05
101,600.855,1.25166,1.65925,1.05124,0.53708,0.39098,0.40949,0.28268,1.2542,1.96778,1.09759,1.414e-05,1.414e-05,1.414e-05
102,606.264,1.25304,1.66696,1.03539,0.53858,0.39204,0.4105,0.28388,1.24829,1.95464,1.09474,1.40014e-05,1.40014e-05,1.40014e-05
103,612.006,1.28691,1.7877,1.03043,0.54168,0.39447,0.41421,0.28681,1.24441,1.94954,1.09262,1.38628e-05,1.38628e-05,1.38628e-05
104,617.063,1.23026,1.65664,1.03123,0.50991,0.40571,0.41882,0.28819,1.24944,1.92544,1.09529,1.37242e-05,1.37242e-05,1.37242e-05
105,622.777,1.23994,1.68506,1.0363,0.54818,0.3925,0.41659,0.2873,1.25009,1.93093,1.09498,1.35856e-05,1.35856e-05,1.35856e-05
106,627.623,1.22224,1.66601,1.0522,0.55281,0.38904,0.41611,0.28751,1.2501,1.93374,1.0946,1.3447e-05,1.3447e-05,1.3447e-05
107,633.297,1.29989,1.73435,1.02291,0.5515,0.38727,0.41926,0.28906,1.24923,1.93253,1.09394,1.33084e-05,1.33084e-05,1.33084e-05
108,638.666,1.23216,1.59094,1.02798,0.54967,0.38916,0.42234,0.29053,1.25341,1.92899,1.09416,1.31698e-05,1.31698e-05,1.31698e-05
