epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
98,1317.57,0.8674,0.6368,1.04221,0.92171,0.84098,0.90708,0.71973,0.83954,0.45839,1.05771,1.24509e-05,1.24509e-05,1.24509e-05
99,1330.48,0.87696,0.62743,1.04054,0.92878,0.8301,0.90385,0.72442,0.81208,0.45436,1.04403,1.22111e-05,1.22111e-05,1.22111e-05
100,1343.9,0.88339,0.62024,1.04509,0.87925,0.86829,0.91113,0.72817,0.81406,0.45538,1.04693,1.19718e-05,1.19718e-05,1.19718e-05
101,1357.28,0.86865,0.61349,1.04047,0.89009,0.86492,0.91091,0.73072,0.81571,0.45456,1.04732,1.17332e-05,1.17332e-05,1.17332e-05
102,1370.6,0.87532,0.62581,1.04771,0.88942,0.86379,0.91203,0.73296,0.81158,0.44995,1.04535,1.14954e-05,1.14954e-05,1.14954e-05
103,1383.98,0.88076,0.62821,1.05743,0.87923,0.86791,0.91454,0.73364,0.80724,0.4515,1.04304,1.12583e-05,1.12583e-05,1.12583e-05
104,1397.4,0.86864,0.60894,1.03826,0.89429,0.86486,0.91703,0.73807,0.80832,0.4479,1.04303,1.10222e-05,1.10222e-05,1.10222e-05
105,1410.86,0.85015,0.61404,1.02821,0.87529,0.87199,0.9163,0.73746,0.8058,0.44918,1.04173,1.0787e-05,1.0787e-05,1.0787e-05
106,1423.83,0.86817,0.60059,1.0465,0.87529,0.87398,0.91603,0.73534,0.80748,0.44979,1.0416,1.05528e-05,1.05528e-05,1.05528e-05
107,1436.67,0.85939,0.60816,1.04874,0.88385,0.86886,0.91619,0.73829,0.81072,0.44912,1.04348,1.03197e-05,1.03197e-05,1.03197e-05
108,1450.09,0.85578,0.60173,1.03748,0.90725,0.85433,0.91784,0.73886,0.8107,0.44976,1.04225,1.00877e-05,1.00877e-05,1.00877e-05
109,1463.44,0.86411,0.60248,1.04976,0.87956,0.87026,0.91729,0.73794,0.80506,0.44112,1.04203,9.85702e-06,9.85702e-06,9.85702e-06
110,1476.32,0.86583,0.61295,1.03606,0.8866,0.86804,0.91892,0.73905,0.80597,0.44116,1.04243,9.62763e-06,9.62763e-06,9.62763e-06
111,1489.7,0.87009,0.60189,1.04605,0.90386,0.86526,0.92191,0.74576,0.7981,0.44027,1.03688,9.3996e-06,9.3996e-06,9.3996e-06
112,1503.02,0.85725,0.60068,1.04386,0.9052,0.85657,0.9192,0.73587,0.82034,0.44532,1.04795,9.17302e-06,9.17302e-06,9.17302e-06
113,1515.93,0.86314,0.60433,1.04015,0.88163,0.87857,0.91958,0.74303,0.79137,0.43706,1.03521,8.94795e-06,8.94795e-06,8.94795e-06
