                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     77,                 1.5084,                 5.2317,                 1.0791,                0.45222,                0.02701,                0.02814,                0.01943,                 1.3616,                 5.0743,                  1.048,               7.21e-06,               7.21e-06,               7.21e-06
                     78,                 1.5145,                 5.2931,                  1.073,                0.45218,                0.02783,                0.02866,                0.01976,                 1.3602,                 5.0767,                 1.0478,             6.9328e-06,             6.9328e-06,             6.9328e-06
                     79,                 1.4946,                 5.2545,                 1.0708,                0.45229,                0.02817,                0.02855,                0.01968,                 1.3593,                 5.0806,                 1.0474,             6.6556e-06,             6.6556e-06,             6.6556e-06
                     80,                 1.5214,                 5.2248,                 1.0803,                0.45157,                0.02872,                0.02881,                0.01974,                   1.36,                 5.0556,                 1.0468,             6.3784e-06,             6.3784e-06,             6.3784e-06
                     81,                 1.5289,                 5.2617,                 1.0791,                0.44422,                0.02906,                0.02881,                0.01979,                 1.3607,                 5.0531,                 1.0477,             6.1012e-06,             6.1012e-06,             6.1012e-06
                     82,                 1.4938,                 5.2616,                 1.0741,                0.44839,                0.02946,                0.02923,                0.02003,                 1.3618,                 5.0572,                 1.0475,              5.824e-06,              5.824e-06,              5.824e-06
                     83,                 1.5229,                 5.2778,                 1.0765,                 0.4369,                0.02976,                0.02919,                0.02001,                 1.3619,                  5.058,                 1.0486,             5.5468e-06,             5.5468e-06,             5.5468e-06
                     84,                 1.5303,                 5.3135,                 1.0682,                0.45269,                 0.0299,                0.02914,                0.01996,                 1.3605,                 5.0663,                 1.0494,             5.2696e-06,             5.2696e-06,             5.2696e-06
                     85,                  1.504,                 5.1899,                 1.0753,                0.44875,                0.02962,                0.02915,                0.01988,                 1.3594,                   5.05,                 1.0481,             4.9924e-06,             4.9924e-06,             4.9924e-06
                     86,                 1.5048,                 5.2292,                 1.0733,                 0.4483,                0.02949,                0.02937,                0.02004,                 1.3593,                 5.0281,                 1.0484,             4.7152e-06,             4.7152e-06,             4.7152e-06
                     87,                 1.5247,                  5.183,                 1.0739,                0.45989,                0.02971,                0.02945,                0.02007,                 1.3603,                 5.0259,                 1.0487,              4.438e-06,              4.438e-06,              4.438e-06
                     88,                 1.4943,                 5.1933,                 1.0628,                0.46008,                0.02905,                0.02955,                0.02012,                 1.3597,                 5.0237,                 1.0477,             4.1608e-06,             4.1608e-06,             4.1608e-06
                     89,                 1.5037,                 5.2689,                 1.0667,                0.46016,                0.02919,                0.02966,                0.02021,                 1.3604,                  5.034,                 1.0481,             3.8836e-06,             3.8836e-06,             3.8836e-06
                     90,                 1.5335,                  5.236,                 1.0792,                0.46391,                0.02885,                0.02959,                0.02019,                 1.3608,                 5.0382,                 1.0486,             3.6064e-06,             3.6064e-06,             3.6064e-06
                     91,                 1.5294,                 5.0194,                 1.0873,                0.42076,                0.03187,                0.03129,                0.02132,                 1.3679,                 4.9426,                 1.0467,             3.3292e-06,             3.3292e-06,             3.3292e-06
                     92,                 1.5214,                 5.0232,                 1.0767,                0.39295,                0.03554,                0.03207,                0.02189,                  1.379,                 4.8785,                 1.0462,              3.052e-06,              3.052e-06,              3.052e-06
                     93,                  1.536,                  5.021,                 1.0729,                 0.4128,                0.03367,                0.03229,                0.02164,                  1.381,                 4.8506,                 1.0449,             2.7748e-06,             2.7748e-06,             2.7748e-06
                     94,                 1.5202,                 4.9945,                 1.0737,                0.40098,                0.03416,                0.03259,                0.02184,                 1.3802,                 4.8416,                 1.0443,             2.4976e-06,             2.4976e-06,             2.4976e-06
                     95,                 1.5072,                 5.0102,                 1.0586,                0.40554,                0.03301,                0.03404,                0.02298,                  1.379,                 4.8378,                 1.0441,             2.2204e-06,             2.2204e-06,             2.2204e-06
                     96,                 1.4922,                 5.0253,                 1.0706,                0.40478,                0.03397,                0.03374,                0.02294,                 1.3793,                 4.8319,                 1.0438,             1.9432e-06,             1.9432e-06,             1.9432e-06
                     97,                 1.4938,                 4.9838,                 1.0694,                0.40863,                0.03303,                0.03371,                0.02297,                 1.3786,                 4.8296,                  1.044,              1.666e-06,              1.666e-06,              1.666e-06
                     98,                 1.4931,                 5.0064,                 1.0698,                0.40526,                0.03245,                0.03283,                0.02218,                 1.3789,                 4.8249,                 1.0442,             1.3888e-06,             1.3888e-06,             1.3888e-06
                     99,                 1.4857,                 4.9687,                 1.0575,                 0.3976,                0.03233,                0.03296,                0.02217,                 1.3793,                 4.8174,                 1.0446,             1.1116e-06,             1.1116e-06,             1.1116e-06
                    100,                 1.5112,                 4.9904,                 1.0763,                0.40493,                 0.0332,                0.03362,                0.02285,                 1.3804,                 4.8185,                 1.0453,              8.344e-07,              8.344e-07,              8.344e-07
